PassengerId,Survived,Pclass,Age,SibSp,Parch,Sex_male
607,0,3,30.0,0,0,1
861,0,3,41.0,2,0,1
562,0,3,40.0,0,0,1
295,0,3,24.0,0,0,1
266,0,2,36.0,0,0,1
233,0,2,59.0,0,0,1
501,0,3,17.0,0,0,1
169,0,1,28.0,0,0,1
132,0,3,20.0,0,0,1
796,0,2,39.0,0,0,1
854,1,1,16.0,0,1,0
361,0,3,40.0,1,4,1
550,1,2,8.0,1,1,1
886,0,3,39.0,0,5,0
869,0,3,28.0,0,0,1
374,0,1,22.0,0,0,1
777,0,3,28.0,0,0,1
28,0,1,19.0,3,2,1
749,0,1,19.0,1,0,1
611,0,3,39.0,1,5,0
481,0,3,9.0,5,2,1
788,0,3,8.0,4,1,1
769,0,3,28.0,1,0,1
655,0,3,18.0,0,0,0
146,0,2,19.0,1,1,1
262,1,3,3.0,4,2,1
226,0,3,22.0,0,0,1
658,0,3,32.0,1,1,0
62,1,1,38.0,0,0,0
32,1,1,28.0,1,0,0
838,0,3,28.0,0,0,1
279,0,3,7.0,4,1,1
500,0,3,24.0,0,0,1
143,1,3,24.0,1,0,0
112,0,3,14.5,1,0,0
197,0,3,28.0,0,0,1
843,1,1,30.0,0,0,0
727,1,2,30.0,3,0,0
386,0,2,18.0,0,0,1
20,1,3,28.0,0,0,0
171,0,1,61.0,0,0,1
400,1,2,28.0,0,0,0
759,0,3,34.0,0,0,1
138,0,1,37.0,1,0,1
95,0,3,59.0,0,0,1
67,1,2,29.0,0,0,0
548,1,2,28.0,0,0,1
555,1,3,22.0,0,0,0
137,1,1,19.0,0,2,0
219,1,1,32.0,0,0,0
643,0,3,2.0,3,2,0
676,0,3,18.0,0,0,1
589,0,3,22.0,0,0,1
384,1,1,35.0,1,0,0
328,1,2,36.0,0,0,0
823,0,1,38.0,0,0,1
712,0,1,28.0,0,0,1
355,0,3,28.0,0,0,1
833,0,3,28.0,0,0,1
393,0,3,28.0,2,0,1
592,1,1,52.0,1,0,0
418,1,2,18.0,0,2,0
155,0,3,28.0,0,0,1
468,0,1,56.0,0,0,1
218,0,2,42.0,1,0,1
350,0,3,42.0,0,0,1
63,0,1,45.0,1,0,1
540,1,1,22.0,0,2,0
817,0,3,23.0,0,0,0
715,0,2,52.0,0,0,1
807,0,1,39.0,0,0,1
362,0,2,29.0,1,0,1
216,1,1,31.0,1,0,0
629,0,3,26.0,0,0,1
11,1,3,4.0,1,1,0
43,0,3,28.0,0,0,1
847,0,3,28.0,8,2,1
775,1,2,54.0,1,3,0
320,1,1,40.0,1,1,0
625,0,3,21.0,0,0,1
276,1,1,63.0,1,0,0
578,1,1,39.0,1,0,0
396,0,3,22.0,0,0,1
264,0,1,40.0,0,0,1
697,0,3,44.0,0,0,1
507,1,2,33.0,0,2,0
181,0,3,28.0,8,2,0
24,1,1,28.0,0,0,1
469,0,3,28.0,0,0,1
93,0,1,46.0,1,0,1
716,0,3,19.0,0,0,1
305,0,3,28.0,0,0,1
453,0,1,30.0,0,0,1
594,0,3,28.0,0,2,0
563,0,2,28.0,0,0,1
683,0,3,20.0,0,0,1
115,0,3,17.0,0,0,0
382,1,3,1.0,0,2,0
887,0,2,27.0,0,0,1
853,0,3,9.0,1,1,0
90,0,3,24.0,0,0,1
512,0,3,28.0,0,0,1
557,1,1,48.0,1,0,0
461,1,1,48.0,0,0,1
77,0,3,28.0,0,0,1
267,0,3,16.0,4,1,1
341,1,2,2.0,1,1,1
23,1,3,15.0,0,0,0
446,1,1,4.0,0,2,1
310,1,1,30.0,0,0,0
706,0,2,39.0,0,0,1
152,1,1,22.0,1,0,0
714,0,3,29.0,0,0,1
772,0,3,48.0,0,0,1
346,1,2,24.0,0,0,0
101,0,3,28.0,0,0,0
118,0,2,29.0,1,0,1
58,0,3,28.5,0,0,1
627,0,2,57.0,0,0,1
404,0,3,28.0,1,0,1
22,1,2,34.0,0,0,1
850,1,1,28.0,1,0,0
503,0,3,28.0,0,0,0
747,0,3,16.0,1,1,1
698,1,3,28.0,0,0,0
813,0,2,35.0,0,0,1
168,0,3,45.0,1,4,0
477,0,2,34.0,1,0,1
547,1,2,19.0,1,0,0
579,0,3,28.0,1,0,0
97,0,1,71.0,0,0,1
85,1,2,17.0,0,0,0
733,0,2,28.0,0,0,1
367,1,1,60.0,1,0,0
359,1,3,28.0,0,0,0
178,0,1,50.0,0,0,0
13,0,3,20.0,0,0,1
558,0,1,28.0,0,0,1
534,1,3,28.0,0,2,0
746,0,1,70.0,1,1,1
402,0,3,26.0,0,0,1
147,1,3,27.0,0,0,1
194,1,2,3.0,1,1,1
363,0,3,45.0,0,1,0
730,0,3,25.0,1,0,0
702,1,1,35.0,0,0,1
188,1,1,45.0,0,0,1
530,0,2,23.0,2,1,1
880,1,1,56.0,0,1,0
830,1,1,62.0,0,0,0
376,1,1,28.0,1,0,0
278,0,2,28.0,0,0,1
407,0,3,51.0,0,0,1
532,0,3,28.0,0,0,1
692,1,3,4.0,0,1,0
440,0,2,31.0,0,0,1
648,1,1,56.0,0,0,1
859,1,3,24.0,0,3,0
529,0,3,39.0,0,0,1
704,0,3,25.0,0,0,1
804,1,3,0.42,0,1,1
609,1,2,22.0,1,2,0
230,0,3,28.0,3,1,0
164,0,3,17.0,0,0,1
724,0,2,50.0,0,0,1
106,0,3,28.0,0,0,1
78,0,3,28.0,0,0,1
515,0,3,24.0,0,0,1
634,0,1,28.0,0,0,1
192,0,2,19.0,0,0,1
455,0,3,28.0,0,0,1
377,1,3,22.0,0,0,0
645,1,3,0.75,2,1,0
261,0,3,28.0,0,0,1
196,1,1,58.0,0,0,0
814,0,3,6.0,4,2,0
565,0,3,28.0,0,0,0
526,0,3,40.5,0,0,1
299,1,1,28.0,0,0,1
57,1,2,21.0,0,0,0
21,0,2,35.0,0,0,1
575,0,3,16.0,0,0,1
493,0,1,55.0,0,0,1
428,1,2,19.0,0,0,0
852,0,3,74.0,0,0,1
268,1,3,25.0,1,0,1
864,0,3,28.0,8,2,0
799,0,3,30.0,0,0,1
59,1,2,5.0,1,2,0
632,0,3,51.0,0,0,1
131,0,3,33.0,0,0,1
187,1,3,28.0,1,0,0
246,0,1,44.0,2,0,1
691,1,1,31.0,1,0,1
535,0,3,30.0,0,0,0
818,0,2,31.0,1,1,1
617,0,3,34.0,1,1,1
177,0,3,28.0,3,1,1
429,0,3,28.0,0,0,1
846,0,3,42.0,0,0,1
100,0,2,34.0,1,0,1
236,0,3,28.0,0,0,0
343,0,2,28.0,0,0,1
802,1,2,31.0,1,1,0
494,0,1,71.0,0,0,1
779,0,3,28.0,0,0,1
330,1,1,16.0,0,1,0
684,0,3,14.0,5,2,1
148,0,3,9.0,2,2,0
54,1,2,29.0,1,0,0
457,0,1,65.0,0,0,1
525,0,3,28.0,0,0,1
114,0,3,20.0,1,0,0
139,0,3,16.0,0,0,1
391,1,1,36.0,1,2,1
136,0,2,23.0,0,0,1
422,0,3,21.0,0,0,1
458,1,1,28.0,1,0,0
234,1,3,5.0,4,2,0
840,1,1,28.0,0,0,1
742,0,1,36.0,1,0,1
173,1,3,1.0,1,1,0
74,0,3,26.0,1,0,1
778,1,3,5.0,0,0,0
883,0,3,22.0,0,0,0
417,1,2,34.0,1,1,0
463,0,1,47.0,0,0,1
349,1,3,3.0,1,1,1
659,0,2,23.0,0,0,1
289,1,2,42.0,0,0,1
126,1,3,12.0,1,0,1
581,1,2,25.0,1,1,0
612,0,3,28.0,0,0,1
127,0,3,28.0,0,0,1
577,1,2,34.0,0,0,0
109,0,3,38.0,0,0,1
851,0,3,4.0,4,2,1
624,0,3,21.0,0,0,1
25,0,3,8.0,3,1,0
286,0,3,33.0,0,0,1
48,1,3,28.0,0,0,0
474,1,2,23.0,0,0,0
15,0,3,14.0,0,0,0
42,0,2,27.0,1,0,0
31,0,1,40.0,0,0,1
744,0,3,24.0,1,0,1
668,0,3,28.0,0,0,1
520,0,3,32.0,0,0,1
884,0,2,28.0,0,0,1
606,0,3,36.0,1,0,1
111,0,1,47.0,0,0,1
424,0,3,28.0,1,1,0
821,1,1,52.0,1,1,0
154,0,3,40.5,0,2,1
125,0,1,54.0,0,1,1
149,0,2,36.5,0,2,1
487,1,1,35.0,1,0,0
427,1,2,28.0,1,0,0
770,0,3,32.0,0,0,1
473,1,2,33.0,1,2,0
369,1,3,28.0,0,0,0
170,0,3,28.0,0,0,1
708,1,1,42.0,0,0,1
27,0,3,28.0,0,0,1
318,0,2,54.0,0,0,1
478,0,3,29.0,1,0,1
649,0,3,28.0,0,0,1
399,0,2,23.0,0,0,1
37,1,3,28.0,0,0,1
86,1,3,33.0,3,0,0
492,0,3,21.0,0,0,1
566,0,3,24.0,2,0,1
644,1,3,28.0,0,0,1
401,1,3,39.0,0,0,1
809,0,2,39.0,0,0,1
694,0,3,25.0,0,0,1
590,0,3,28.0,0,0,1
480,1,3,2.0,0,1,0
752,1,3,6.0,0,1,1
835,0,3,18.0,0,0,1
521,1,1,30.0,0,0,0
737,0,3,48.0,1,3,0
483,0,3,50.0,0,0,1
614,0,3,28.0,0,0,1
816,0,1,28.0,0,0,1
151,0,2,51.0,0,0,1
462,0,3,34.0,0,0,1
608,1,1,27.0,0,0,1
603,0,1,28.0,0,0,1
690,1,1,15.0,0,1,0
244,0,3,22.0,0,0,1
875,1,2,28.0,1,0,0
678,1,3,18.0,0,0,0
326,1,1,36.0,0,0,0
76,0,3,25.0,0,0,1
314,0,3,28.0,0,0,1
863,1,1,48.0,0,0,0
172,0,3,4.0,4,1,1
527,1,2,50.0,0,0,0
495,0,3,21.0,0,0,1
858,1,1,51.0,0,0,1
160,0,3,28.0,8,2,1
265,0,3,28.0,0,0,0
766,1,1,51.0,1,0,0
876,1,3,15.0,0,0,0
433,1,2,42.0,1,0,0
211,0,3,24.0,0,0,1
431,1,1,28.0,0,0,1
150,0,2,42.0,0,0,1
518,0,3,28.0,0,0,1
9,1,3,27.0,0,2,0
316,1,3,26.0,0,0,0
335,1,1,28.0,1,0,0
351,0,3,23.0,0,0,1
595,0,2,37.0,1,0,1
713,1,1,48.0,1,0,1
303,0,3,19.0,0,0,1
387,0,3,1.0,5,2,1
582,1,1,39.0,1,1,0
635,0,3,9.0,3,2,0
827,0,3,28.0,0,0,1
105,0,3,37.0,2,0,1
801,0,2,34.0,0,0,1
552,0,2,27.0,0,0,1
470,1,3,0.75,2,1,0
110,1,3,28.0,1,0,0
297,0,3,23.5,0,0,1
99,1,2,34.0,0,1,0
8,0,3,2.0,3,1,1
871,0,3,26.0,0,0,1
758,0,2,18.0,0,0,1
52,0,3,21.0,0,0,1
882,0,3,33.0,0,0,1
240,0,2,33.0,0,0,1
364,0,3,35.0,0,0,1
75,1,3,32.0,0,0,1
641,0,3,20.0,0,0,1
17,0,3,2.0,4,1,1
257,1,1,28.0,0,0,0
243,0,2,29.0,0,0,1
293,0,2,36.0,0,0,1
499,0,1,25.0,1,2,0
791,0,3,28.0,0,0,1
60,0,3,11.0,5,2,1
703,0,3,18.0,0,1,0
336,0,3,28.0,0,0,1
675,0,2,28.0,0,0,1
619,1,2,4.0,2,1,0
732,0,3,11.0,0,0,1
465,0,3,28.0,0,0,1
183,0,3,9.0,4,2,1
793,0,3,28.0,8,2,0
426,0,3,28.0,0,0,1
837,0,3,21.0,0,0,1
368,1,3,28.0,0,0,0
652,1,2,18.0,0,1,0
748,1,2,30.0,0,0,0
497,1,1,54.0,1,0,0
822,1,3,27.0,0,0,1
485,1,1,25.0,1,0,1
795,0,3,25.0,0,0,1
820,0,3,10.0,3,2,1
844,0,3,34.5,0,0,1
554,1,3,22.0,0,0,1
166,1,3,9.0,0,2,1
405,0,3,20.0,0,0,0
669,0,3,43.0,0,0,1
610,1,1,40.0,0,0,0
223,0,3,51.0,0,0,1
443,0,3,25.0,1,0,1
253,0,1,62.0,0,0,1
204,0,3,45.5,0,0,1
568,0,3,29.0,0,4,0
3,1,3,26.0,0,0,0
513,1,1,36.0,0,0,1
229,0,2,18.0,0,0,1
670,1,1,28.0,1,0,0
140,0,1,24.0,0,0,1
605,1,1,35.0,0,0,1
472,0,3,38.0,0,0,1
484,1,3,63.0,0,0,0
762,0,3,41.0,0,0,1
92,0,3,20.0,0,0,1
596,0,3,36.0,1,1,1
124,1,2,32.5,0,0,0
571,1,2,62.0,0,0,1
435,0,1,50.0,1,0,1
120,0,3,2.0,4,2,0
347,1,2,40.0,0,0,0
174,0,3,21.0,0,0,1
103,0,1,21.0,0,1,1
444,1,2,28.0,0,0,0
89,1,1,23.0,3,2,0
436,1,1,14.0,1,2,0
47,0,3,28.0,1,0,1
55,0,1,65.0,0,1,1
385,0,3,28.0,0,0,1
122,0,3,28.0,0,0,1
696,0,2,52.0,0,0,1
502,0,3,21.0,0,0,0
91,0,3,29.0,0,0,1
591,0,3,35.0,0,0,1
878,0,3,19.0,0,0,1
819,0,3,43.0,0,0,1
604,0,3,44.0,0,0,1
199,1,3,28.0,0,0,0
232,0,3,29.0,0,0,1
272,1,3,25.0,0,0,1
141,0,3,28.0,0,2,0
832,1,2,0.83,1,1,1
308,1,1,17.0,1,0,0
201,0,3,28.0,0,0,1
179,0,2,30.0,0,0,1
394,1,1,23.0,1,0,0
486,0,3,28.0,3,1,0
331,1,3,28.0,2,0,0
842,0,2,16.0,0,0,1
153,0,3,55.5,0,0,1
448,1,1,34.0,0,0,1
738,1,1,35.0,0,0,1
378,0,1,27.0,0,2,1
504,0,3,37.0,0,0,0
868,0,1,31.0,0,0,1
798,1,3,31.0,0,0,0
539,0,3,28.0,0,0,1
237,0,2,44.0,1,0,1
73,0,2,21.0,0,0,1
80,1,3,30.0,0,0,0
360,1,3,28.0,0,0,0
667,0,2,25.0,0,0,1
309,0,2,30.0,1,0,1
811,0,3,26.0,0,0,1
723,0,2,34.0,0,0,1
71,0,2,32.0,0,0,1
292,1,1,19.0,1,0,0
254,0,3,30.0,1,0,1
763,1,3,20.0,0,0,1
290,1,3,22.0,0,0,0
482,0,2,28.0,0,0,1
491,0,3,28.0,1,0,1
102,0,3,28.0,0,0,1
291,1,1,26.0,0,0,0
70,0,3,26.0,2,0,1
736,0,3,28.5,0,0,1
413,1,1,33.0,1,0,0
189,0,3,40.0,1,1,1
35,0,1,28.0,1,0,1
119,0,1,24.0,0,1,1
421,0,3,28.0,0,0,1
121,0,2,21.0,2,0,1
489,0,3,30.0,0,0,1
256,1,3,29.0,0,2,0
